DATAFLOW,LAST UPDATE,freq,unit,c_birth,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AL,2017,,u
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AL,2018,,u
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AL,2019,,u
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AL,2020,,z
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AL,2021,,u
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2003,27.7,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2004,27.1,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2005,25.3,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2006,23.3,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2007,26.7,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2008,32.7,b
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2009,32.4,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2010,33.1,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2011,31.9,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2012,29.7,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2013,32.3,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2014,34.9,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2015,34.6,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2016,28.7,
ESTAT:ILC_LI34(1.0),16/11/23 23:00:00,A,PC,FOR,AT,2017,33.7,
